title,description,author,gender
Five Night's at Freddys: O Terror da Noite,uma investigação a uma pizzaria assombrada,54,41
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
ragna,um humano que mata dragoes,65,55
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
paia,super legal,55,45
paia,super legal,55,45
paia,super legal,55,45
paia 2,super legal,55,45
paia,super legal,55,45
paia,super legal,55,45
paia,super legal,55,45
paia,super legal,55,45
A Vida do Zé Chinelão,"Onde Vive, do que se alimenta?",56,44
A vida e as andanças do Dehcão,A historia de terror da vida do Dehco,58,47
Alice no país das maravilhas,As aventuras da personagem Alice,67,56
paia,super legal,55,45
paia,super legal,55,45
Meu Escritório é na Praia,Vida de um Trabalhador com seus sonhos,64,51
Águia,QAguias,71,61
Meu Escritório é na Praia,Vida de um Trabalhador com seus sonhos,64,51
minha vida na ilhatech,funcionamento dentro do curso da ilhatech,69,59
A vida e as andanças do Dehcão,A historia de terror da vida do Dehco,58,47
Praia das Cabras,Praia bela e cheia de misterios,68,57
MLK DO VOLEI,um jogador de volei,61,54
Praia das Cabras,Praia bela e cheia de misterios,68,57
paia,super legal,55,45
minha vida na ilhatech,funcionamento dentro do curso da ilhatech,69,59
Praia das Cabras,Praia bela e cheia de misterios,68,57
MLK DO VOLEI,um jogador de volei,61,54
minha vida na ilhatech,funcionamento dentro do curso da ilhatech,69,59
minha vida na ilhatech,funcionamento dentro do curso da ilhatech,69,59
paia,super legal,55,45
minha vida na ilhatech,funcionamento dentro do curso da ilhatech,69,59
Vida no Bonete,Como viver comendo peixe e só usar chinelo,68,57
minha vida na ilhatech,funcionamento dentro do curso da ilhatech,69,59
minha vida na ilhatech,funcionamento dentro do curso da ilhatech,69,59
minha vida na ilhatech,funcionamento dentro do curso da ilhatech,69,59
Tensei Shitara Slime Datta Ken,"Sinopse. Solitário de trinta e sete anos de idade Satoru Mikami está preso em um trabalho sem saída, descontente com sua vida mundana, mas depois de morrer nas mãos de um ladrão, ele desperta para um novo começo em um reino de fantasia... como um monstro slime!",70,49
Como Eu Era Antes de Você.,"Inspirador, amoroso, impaciente e brutal, Como eu era antes de você é a obra que tem mais emocão e amor de Jojo Moyes, sobre o amor e a tragédia que é tentar saber viver e amar ao mesmo tempo.",52,58
string,string,77,67
string,string,77,67
string,string,2,2
Titulo,string,2,2
Matando pessoas com Java,Java é o terror,78,68
string,string,2,2
Matando pessoas com Java 2,Java é o terror,78,68
Matando pessoas com Java 3,Java é o terror,78,68
string,string,2,2
string,string,2,2
string,string,2,2
string,string,2,2
string,string,2,2
Titulo do livro noovo,desc do livro novo,2,2
Mais um livro novo,Descrição de um livro novo,2,2
O curioso caso de benjamin batman,a historia do homem que envelhecia ao contrario e que tambem era o batman,2,2
Bíblia,"Bíblia é uma antologia de textos religiosos ou escrituras sagradas para o cristianismo, o judaísmo, o samaritanismo e muitas outras religiões. Esses textos, originalmente escritos em hebraico, aramaico e grego koiné, incluem instruções, histórias, poesias e profecias, entre outros gêneros literários",2,2
A Arte da Guerra,"A Arte da Guerra é um antigo tratado militar chinês que data do fim do período das Primaveras e Outonos. A obra, que é atribuída ao antigo estrategista militar chinês Sun Tzu, é composta por treze capítulos.",2,2
Vinizin Maromba,Conheça a incrivel historia repleta de aventuras e desafios do vini ate que se torne um verdadeiro maromba,2,2
Titulo do livro noovo,desc do livro novo,79,69
a revolução dos bichos,livro de satira poetica,2,2
Real,"Real é uma série de mangá japonês escrita e ilustrada por Takehiko Inoue que tem como foco o basquetebol em cadeira de rodas. A obra é serializada na revista Weekly Young Jump desde 1999, com capítulos encadernados em 14 volumes Tankōbon até hoje pela Shueisha",2,2
Esse é meu titulo,Esta linha é a descrição do meu livro,2,2
Mon petit,Raynara,2,2
garota de fora,uma garota que em cada escola que passa deixa seus rastros,2,2
QA na veia,Jogajuntocomqa!,2,2
livro do jhonata,as aventuras do jhon,2,2
O sorriso do palhaço,comédia?,2,2
correria,dsc de correria,80,70
Esse é meu titulo (Laercio),Esta linha é a descrição do meu livro,2,2
como fazer bomba atomica caseira,tutorial rapido e facil,2,2
nobru apelao,as aventuras do nobru,2,2
thaisla,desc do livro novo,79,69
teste miza,meu livro,2,2
Harry Potter e a pedra fisolofal,"Orfao, vida dificil, mundobruxo, escola de magica, nemesis, aventurinha, finaboss, final feliz",79,69
Centralized composite customer loyalty,"generating the application won't do anything, we need to navigate the auxiliary HTTP interface!",86,76
Fully-configurable hybrid superstructure,"The GB pixel is down, quantify the neural bandwidth so we can connect the SAS program!",86,76
Sobreviventes 2077.,38,3,2
Sobreviventes 2077.,Sobreviventes de uma guerra nuclear lutam por sua sobrevivência em um mundo apocalíptico,3,2
Java o terror do mundo da programação,Mergulha na jornada emocionante e desafiadora dos aspirantes a programadores enquanto enfrentam a complexidade e o alcance do Java.,5,4
Tigrinho,Melhor squad.,87,80
Automated reciprocal adapter,"I'll connect the virtual ADP port, that should circuit the SSL card!",84,78
Pre-emptive systematic emulation,"The CSS driver is down, override the solid state feed so we can hack the SSL program!",88,78
Triple-buffered local service-desk,"calculating the application won't do anything, we need to synthesize the wireless SMTP port!",88,78
Python > Java,PYTHON.,87,80
O Herdeiro das Trevas,Continuação de Ascensão das Trevas.,87,80
QA - JJ,Conceito de QA pelo Instituto Joga Junto.,87,80
Synergized coherent orchestration,"If we program the array, we can get to the SSL application through the auxiliary SDD bus!",89,82
Stand-alone disintermediate application,"Use the solid state AI interface, then you can bypass the 1080p circuit!",93,89
Persistent zero administration initiative,"navigating the microchip won't do anything, we need to generate the optical PCI protocol!",95,91
Organized systematic frame,"indexing the bus won't do anything, we need to synthesize the digital GB application!",95,91
Total intangible Graphic Interface,"Try to copy the FTP pixel, maybe it will copy the mobile driver!",97,94
Object-based neutral access,"Use the bluetooth XSS transmitter, then you can connect the optical program!",97,94
Programmable 6th generation utilisation,We need to parse the optical HTTP interface!,97,94
Universo,Planetas,102,78
Python 3,Analise ccompleta da linguagem de programção Python,91,100
O Jogador,"O jogador, de Fiódor Dostoiévski é um primoroso romance cujo teor psicológico ultrapassa os estreitos limites do gênero recreativo.",103,96
O Senhor dos Anéis: A Sociedade do Anel.,Uma épica aventura pela Terra-média em busca de destruir o Um Anel.,109,102
1984,Uma crítica à sociedade totalitária e ao controle da informação.,109,102
O Sol é para Todos.,Uma história comovente sobre justiça racial e amadurecimento no sul dos Estados Unidos.,109,102
O Sol é para Todos.,Uma história comovente sobre justiça racial e amadurecimento no sul dos Estados Unidos.,109,102
O Guia do Mochileiro das Galáxias.,Um guia para desbravar o universo com humor e ironia.,109,102
O Dia Depois de Ontem,O dia que veio depois de ontem é cheio de ação.,113,101
O Coração Mole do Hipertenso,O hipertenso tenta abrir seu coração antes que ele exploda.,112,104
O Medo Que Vem de Noite,"O medo dorme de dia, mas ele acorda de noite.",111,103
Olhar a Tinta Secar,Veja quem dorme primeiro enquanto olham a tinta secar.,110,105
Olhar a Tinta Secar,Veja quem dorme primeiro enquanto olham a tinta secar.,110,105
Olhar a Tinta Secar,Veja quem dorme primeiro enquanto olham a tinta secar.,110,105
Drácula,"Drácula, um clássico que ainda corre quente na veia de inúmeras gerações de leitores por todo o mundo e a mais celebrada narrativa de vampiros",1,1
Frankenstein,"Frankenstein de Mary Shelley, é uma obra atemporal que explora os limites da ciência e da moralidade, desafiando as convenções e cativando os leitores com sua reflexão profunda sobre o que significa o ser humano.",2,2
Meu Livro,terror,1,1
O Senhor dos Anéis,Fantasia,2,2
Voltar no tempo,História de um viajante do tempo,22,33
Voltar no tempo,História de um viajante do tempo,22,33
Humor,"Uma história que visa divertir, fazer rir",23,34
Humor,"Uma história que visa divertir, fazer rir",23,34
Humor,"Uma história que visa divertir, fazer rir",23,34
Humor,"Uma história que visa divertir, fazer rir",23,34
Humor,"Uma história que visa divertir, fazer rir",23,34
Voltar no tempo,História de um viajante do tempo,22,33
O Senhor dos Anéis,O início de tudo,24,35
1984,1984 mostra uma futura realidade distópica ocorrida no ano de 1984.,25,36
1984,1984 mostra uma futura realidade distópica ocorrida no ano de 1984.,25,36
A arte da guerra,"A Arte da Guerra é um antigo tratado militar chinês que data do fim do período das Primaveras e Outonos (aproximadamente século V a.C.). A obra, que é atribuída ao antigo estrategista militar chinês Sun Tzu (""Mestre Sun""), é composta por treze capítulos. Cada um é dedicado a um conjunto diferente de habilidades ou arte relacionadas à guerra e como isso se aplica à estratégia e tática militar.",116,110
A menina que roubava livros,"A trajetória de Liesel Meminger é contada por uma narradora mórbida, surpreendentemente simpática. Ao perceber que a pequena ladra de livros lhe escapa, a Morte afeiçoa-se à menina e rastreia suas pegadas de 1939 a 1943.",117,111
The Outsider,Um crime indescritível. Uma investigação inexplicável. Uma das histórias mais perturbadoras de Stephen King dos últimos tempos.,5,112
Casa-Grande e Senzala,"Freyre apresenta a importância da casa-grande na formação sociocultural brasileira, assim como a da senzala na complementação da primeira.",118,113
O navio Arcano,"aventura marítima repleta de magia, contando a história de um orgulhoso grupo de famílias que navega por mares bravios repletos de piratas e serpentes, a bordo do seu protagonista: os seus navios-vivos. Primeiro livro da trilogia The Liveship Traders.",119,115
Mad Ship,Segundo livro da trilogia The Liveship Traders.,119,115
O aprendiz de assassino,Primeiro livro da trilogia Farseer.,119,115
Ship of Destiny,Último livro da trilogia The Liveship Traders.,119,115
Postman,Postman,1,5
Postman,Postman,1,5
Postman,Postman,1,5
Postman,Postman,132,131
Clean Code - Por Unce Bob,"Robert Cecil Martin, também conhecido como Uncle Bob, é uma grande personalidade da comunidade de desenvolvimento de software, métodos ágeis e software craftsmanship, atuando na área desde 1970.",161,121
Postan,Postan,132,132
Postan,Postan,132,131
Postman,Postman,132,131
O Prizioneiro de AzQAban,Aprenda você mesmo,132,131
Subi no pé de pera para comer uma pera.,Arvores.,135,134
Subi no pé de pera para comer uma pera.,Arveres.,135,134
Postman,Postman,132,131
Postman,Postman,132,131
Postman,Postman,132,131
IJJ,IJJ 123,153,142
Postman,Postman,132,131
Postman,Postman,132,131
Postman2.,Postman2.,180,153
IJJ,IJJ 123,153,142
Dromedário,Muito Deserto e Sangue,175,128
Postman,Postman,132,131
a vida como ela é.,relata como é a vida no dia a dia.,171,156
Pra aprender nunca é tarde,consiste em da o seu mehor sempre pra aprender coisas novas,177,152
Pra aprender nunca é tarde,consiste em da o seu mehor sempre pra aprender coisas novas,177,152
POSTMAN 2077,O livro mais bugado do lançamento,178,128
Dromedário,Muito Deserto e Sangue,175,128
postaman,postaman,183,153
A culpa é da ticket,"Inspirador, corajoso, irreverente e brutal, A culpa é das estrelas é a obra mais ambiciosa e emocionante de John Green, sobre a alegria e a tragédia que é viver e amar.",142,162
A culpa é da ticket2,"Inspirador, corajoso, irreverente e brutal, A culpa é das estrelas é a obra mais ambiciosa e emocionante de John Green, sobre a alegria e a tragédia que é viver e amar.",142,162
Historia da vida real.,"Uma historia inspiradora , baseada ne vida real",188,163
generation Shoes Up-sized Berkshire79.,We need to quantify the online SMTP bandwidth!,190,167
Metal Wooden matrix wireless Rubber353.,"I'll bypass the redundant EXE feed, that should microchip the TCP system!",195,169
the silver eyes,"terror,fuga,suspense,investigação.",165,150
edge View230.,"Use the haptic FTP transmitter, then you can compress the solid state protocol!",196,171
Amigos pra vida.,"uma historia ,baseada na vida.",193,170
A culpa do cupido,è um livro relacionado as confunsões que o corção pode te jogar,151,172
A história de uma lenda,"O livro conta uma história do jogador Roberto Carlos, e como ele conquistou a copa",197,173
Outdoors policy multi-byte Unbranded Future455.,"Try to transmit the JSON microchip, maybe it will compress the auxiliary matrix!",200,175
transmitter B2B Meadow revolutionary258.,"The GB transmitter is down, input the primary transmitter so we can transmit the SMS alarm!",201,176
Grocery Helena Division52.,"The XML feed is down, input the 1080p alarm so we can input the XSS panel!",202,177
transparent Fantastic Won Centers588.,"Use the redundant XSS capacitor, then you can connect the open-source monitor!",203,178
front-end web-enabled bandwidth sticky invoice950.,"Try to parse the SMTP capacitor, maybe it will compress the optical array!",204,179
vai dar namoro,"Irreverente e brutal, A culpa é das estrelas é a obra mais ambiciosa e emocionante de John Green, sobre a alegria e a tragédia que é viver e amar.",199,174
Matando pessoas com Java,Java é o terror,87,78
Se inscrevam no canal do autor,É só de meme mesmo,217,186
Usando Postman para QA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",219,187
Ano da Graça,Um drama feminista,222,84
O Guia do Mochileiro das Galáxias,Uma comédia de ficção científica,222,129
Gustaveira,Malukinho,8,8
Dicionario de testes QA.,O Dicionário de Testes QA é o guia definitivo para profissionais de qualidade de software que buscam compreender a vasta terminologia e os processos envolvidos na garantia da qualidade..,220,189
A Culpa é das Estrelas.,"Inspirador, corajoso, irreverente e brutal, A culpa é das estrelas é a obra mais ambiciosa e emocionante de John Green, sobre a alegria e a tragédia que é viver e amar.",228,105
Corram que o Java vem aí!,Edição de exemplo,78,68
A culpa é da Danila.,A danila usa chat GPT,229,195
Corram que o Java vem aí 2025!,Edição de exemplo,78,68
psicologia do QA,"é uma obra que conecta duas áreas essenciais para o mundo moderno: a psicologia e a qualidade de software. O livro explora como o comportamento humano, os processos cognitivos e a forma como pensamos e sentimos influenciam diretamente o trabalho de um profissional de QA",231,197
O Caminho de um Artista.,"O caminho do artista é um guia para desbloquear a criatividade e recuperar a conexão com o lado artístico. Através de práticas diárias como as Páginas Matinais e exercícios de reflexão, o livro ajuda a superar bloqueios criativos, medos e autossabotagem, incentivando uma vida mais autêntica e criativa.",116,193
A capa secreta.,"Inspirador, corajoso, irreverente e brutal, A culpa é da capa é a obra mais ambiciosa e emocionante de Maria Isabel, sobre a alegria e a tragédia que é viver e sonhar.",227,194
cursando qa,O vasto mundo de aprendar a ser qa.,233,200
a Sabedoria dos Idiotas.,um conteudo deveras interessante.,235,198
Gustaveira,Malukinho,8,9
Glossário de Testes de Qualidade de Software,"O Glossário de Testes de Qualidade de Software é uma referência completa para especialistas em QA, oferecendo uma compreensão profunda dos termos, métodos e práticas essenciais para garantir a excelência e a confiabilidade no desenvolvimento de software.",220,189
Manual de Termos e Processos de QA,"O Manual de Termos e Processos de QA é uma ferramenta essencial para profissionais da área de qualidade de software, trazendo explicações claras e práticas sobre os principais conceitos, técnicas e metodologias usadas para assegurar a alta qualidade nos sistemas desenvolvidos.",220,189
Nineteem Eighty-Four,Best seller,236,125
A arte de nao fazer nada,Um livro que mostra a experiencia de nao fazer nada,237,202
Gustaveira,Formando em QA,238,203
A historia da moeda,"Um livro que mostra a evolução do meio de troca, desde o começo ate as criptos",237,205
Tauane na selva,"Tauane na selva - é um thriller de terror que mergulha o leitor em uma atmosfera densa e aterrorizante, onde a natureza selvagem e implacável da floresta toma vida própria. A história segue Tauane, uma jovem curiosa e destemida, que, em busca de respostas sobre o desaparecimento misterioso de sua irmã mais velha, se aventura em uma selva remota e cheia de lendas ancestrais.",220,209
Bugou? QA está on!,Curso de QA,225,192
Conhecimento nunca é demais!,Aprender faz parte da vida.,225,192
Quero uma oportunidade na área de QA,"Este saga é sobre uma pessoa em trasição de carreira, que quer uma oportunidade na área de QA. Aproveitar as oportunidades e fazer network. ;)",225,192
A Arte de Ser Você,"Neste livro, você será guiado em uma jornada de autodescoberta, aprendendo a se reconectar com sua essência e a viver de acordo com seus valores. Com reflexões, práticas e histórias inspiradoras, A Arte de Ser Você ajuda a superar bloqueios emocionais e a encontrar confiança para viver de forma autêntica, criando uma vida alinhada com seu verdadeiro propósito e potencial.",226,197
Be like hamilton,O cara escreveu 51 textos pra defender um ponto.,224,210
Gusta,Formando em QA,238,203
analise do QA,é uma obra que conecta dois mundos,231,197
tentando entender o postman,"é uma obra que vai te deixar bem confuso, mas com muito estudo, tudo é possivel",231,197
a morte do postman,"é uma obra que vai te deixar bem assustado, vc vai morrer de medo, tentando entender quem é o postman",231,212
Maior do Brasil,Palmeiras maior campeão do brasil.,243,211
Bahia.,"romance, terro,paz",230,213
Maior do Brasil,Palmeiras maior campeão do brasil.,243,211
a morte do postman 2 o retorno,é uma obra aonde todos querem o fim do postman,231,214
o vencedor.,o barbeiro que venceu em sua vida.,244,215
Metamorfose - Franz Kafka.,Certo dia todos nós acordamos metamorfoseados,224,210
mil maneiras de errar no postmam,comedia,240,208
mil maneiras de errar no postmam,comedia,240,208
chuveu vivo morreu.,o curioso caso da vivo que quando chove morre.,245,217
A Herança das Bruxas: O Poder Escondido nas Raízes da Terra,"Neste livro místico, você será levado a um mundo oculto de sabedoria ancestral e magia sombria. A Herança das Bruxas revela os segredos de antigas linhagens de bruxas que, através dos séculos, protegeram o poder escondido nas profundezas da terra. Mergulhe em uma jornada onde feitiços esquecidos, rituais secretos e a conexão com os elementos naturais são a chave para despertar forças sobrenaturais. Um relato fascinante sobre o poder, a tradição e os mistérios que moldaram o destino das bruxas.",226,216
